,adult fare,arrival,children fare,departure,distance,duration,operator,route,special price,date_searched,destination_searched,origin_searched,seats_remaining,origin,destination,created_at
84,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-08-05,,,52,Dar es salaam,Arusha,2019-08-04 18:54:57.857347
85,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-08-06,,,52,Dar es salaam,Arusha,2019-08-04 18:54:57.857347
86,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-08-07,,,52,Dar es salaam,Arusha,2019-08-04 18:54:57.857347
87,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-08-08,,,52,Dar es salaam,Arusha,2019-08-04 18:54:57.857347
88,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-08-09,,,52,Dar es salaam,Arusha,2019-08-04 18:54:57.857347
89,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-08-10,,,52,Dar es salaam,Arusha,2019-08-04 18:54:57.857347
90,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-08-11,,,52,Dar es salaam,Arusha,2019-08-04 18:54:57.857347
91,36000,16:00:00,36000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Karatu,36000,2019-08-05,,,52,Dar es salaam,Karatu,2019-08-04 18:54:57.857347
92,36000,16:00:00,36000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Karatu,36000,2019-08-06,,,52,Dar es salaam,Karatu,2019-08-04 18:54:57.857347
93,36000,16:00:00,36000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Karatu,36000,2019-08-07,,,52,Dar es salaam,Karatu,2019-08-04 18:54:57.857347
94,36000,16:00:00,36000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Karatu,36000,2019-08-08,,,52,Dar es salaam,Karatu,2019-08-04 18:54:57.857347
95,36000,16:00:00,36000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Karatu,36000,2019-08-09,,,52,Dar es salaam,Karatu,2019-08-04 18:54:57.857347
96,36000,16:00:00,36000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Karatu,36000,2019-08-10,,,52,Dar es salaam,Karatu,2019-08-04 18:54:57.857347
97,36000,16:00:00,36000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Karatu,36000,2019-08-11,,,52,Dar es salaam,Karatu,2019-08-04 18:54:57.857347
105,30000,16:00:00,30000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Moshi,30000,2019-08-05,,,52,Dar es salaam,Moshi,2019-08-04 18:54:57.857347
106,30000,16:00:00,30000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Moshi,30000,2019-08-06,,,52,Dar es salaam,Moshi,2019-08-04 18:54:57.857347
107,30000,16:00:00,30000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Moshi,30000,2019-08-07,,,52,Dar es salaam,Moshi,2019-08-04 18:54:57.857347
108,30000,16:00:00,30000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Moshi,30000,2019-08-08,,,52,Dar es salaam,Moshi,2019-08-04 18:54:57.857347
109,30000,16:00:00,30000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Moshi,30000,2019-08-09,,,52,Dar es salaam,Moshi,2019-08-04 18:54:57.857347
110,30000,16:00:00,30000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Moshi,30000,2019-08-10,,,52,Dar es salaam,Moshi,2019-08-04 18:54:57.857347
111,30000,16:00:00,30000,06:00:00,,,Book 52 Seats Available,Dar es salaam to Moshi,30000,2019-08-11,,,52,Dar es salaam,Moshi,2019-08-04 18:54:57.857347
112,65000,15:45:00,65000,05:45:00,,,Book 52 Seats Available,Dar es salaam to Nairobi,65000,2019-08-05,,,52,Dar es salaam,Nairobi,2019-08-04 18:54:57.857347
113,65000,15:45:00,65000,05:45:00,,,Book 52 Seats Available,Dar es salaam to Nairobi,65000,2019-08-06,,,52,Dar es salaam,Nairobi,2019-08-04 18:54:57.857347
