,adult fare,arrival,children fare,departure,distance,duration,operator,route,special price,date_searched,destination_searched,origin_searched,seats_remaining,origin,destination,created_at
360,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-01,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
361,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-02,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
362,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-03,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
363,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-04,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
364,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-05,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
365,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-06,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
366,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-07,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
367,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-08,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
368,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-09,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
369,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-10,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
370,33000,16:00:00,33000,06:00:00,630,8,Book 52 Seats Available,Dar es salaam to Arusha,33000,2019-09-11,,,52,Dar es salaam,Arusha,2019-08-31 00:45:54.628940
