,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Thursday,August 8th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-08,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
1,07:30 AM                                                             Thursday,August 8th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Thursday,0.93,2019-08-08,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
2,09:30 AM                                                             Thursday,August 8th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Thursday,0.91,2019-08-08,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
3,10:00 AM                                                             Thursday,August 8th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Thursday,0.91,2019-08-08,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
4,10:30 AM                                                             Thursday,August 8th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Thursday,0.91,2019-08-08,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
5,11:30 AM                                                             Thursday,August 8th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Thursday,0.91,2019-08-08,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
6,03:30 PM                                                             Thursday,August 8th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Thursday,0.91,2019-08-08,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
7,06:00 AM                                                             Friday,August 9th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-08-09,Dodoma,Moshi,2019-08-07 00:17:09.426985
8,06:00 AM                                                             Saturday,August 10th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-10,Dodoma,Moshi,2019-08-07 00:17:09.426985
9,06:00 AM                                                             Sunday,August 11th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-11,Dodoma,Moshi,2019-08-07 00:17:09.426985
10,06:00 AM                                                             Monday,August 12th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.93,2019-08-12,Dodoma,Moshi,2019-08-07 00:17:09.426985
11,06:00 AM                                                             Friday,August 9th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Friday,0.95,2019-08-09,Rombo,Dodoma,2019-08-07 00:17:09.426985
12,06:00 AM                                                             Thursday,August 8th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-08,Mbeya,Dodoma,2019-08-07 00:17:09.426985
13,06:00 AM                                                             Friday,August 9th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Friday,0.93,2019-08-09,Mbeya,Dodoma,2019-08-07 00:17:09.426985
14,06:00 AM                                                             Saturday,August 10th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.95,2019-08-10,Mbeya,Dodoma,2019-08-07 00:17:09.426985
15,06:00 AM                                                             Sunday,August 11th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-11,Mbeya,Dodoma,2019-08-07 00:17:09.426985
16,06:00 AM                                                             Monday,August 12th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Monday,0.93,2019-08-12,Mbeya,Dodoma,2019-08-07 00:17:09.426985
24,06:00 AM                                                             Friday,August 9th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Friday,0.82,2019-08-09,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
25,07:30 AM                                                             Friday,August 9th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Friday,0.82,2019-08-09,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
26,09:30 AM                                                             Friday,August 9th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Friday,0.82,2019-08-09,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
27,10:00 AM                                                             Friday,August 9th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Friday,0.82,2019-08-09,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
28,10:30 AM                                                             Friday,August 9th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Friday,0.81,2019-08-09,Dar es Salaam,Dodoma,2019-08-07 00:17:09.426985
