,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Wednesday,August 7th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Wednesday,0.81,2019-08-07,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
1,07:30 AM                                                             Wednesday,August 7th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Wednesday,0.81,2019-08-07,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
2,09:30 AM                                                             Wednesday,August 7th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Wednesday,0.84,2019-08-07,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
3,10:00 AM                                                             Wednesday,August 7th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Wednesday,0.84,2019-08-07,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
4,10:30 AM                                                             Wednesday,August 7th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Wednesday,0.98,2019-08-07,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
5,11:30 AM                                                             Wednesday,August 7th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Wednesday,0.98,2019-08-07,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
6,06:00 AM                                                             Wednesday,August 7th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-08-07,Dodoma,Moshi,2019-08-06 00:17:13.307846
7,06:00 AM                                                             Friday,August 9th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-08-09,Dodoma,Moshi,2019-08-06 00:17:13.307846
8,06:00 AM                                                             Saturday,August 10th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-10,Dodoma,Moshi,2019-08-06 00:17:13.307846
9,06:00 AM                                                             Sunday,August 11th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-11,Dodoma,Moshi,2019-08-06 00:17:13.307846
10,06:00 AM                                                             Friday,August 9th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Friday,0.95,2019-08-09,Rombo,Dodoma,2019-08-06 00:17:13.307846
11,06:00 AM                                                             Wednesday,August 7th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Wednesday,0.89,2019-08-07,Mbeya,Dodoma,2019-08-06 00:17:13.307846
12,06:00 AM                                                             Thursday,August 8th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-08,Mbeya,Dodoma,2019-08-06 00:17:13.307846
13,06:00 AM                                                             Friday,August 9th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Friday,0.93,2019-08-09,Mbeya,Dodoma,2019-08-06 00:17:13.307846
14,06:00 AM                                                             Saturday,August 10th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.95,2019-08-10,Mbeya,Dodoma,2019-08-06 00:17:13.307846
15,06:00 AM                                                             Sunday,August 11th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-11,Mbeya,Dodoma,2019-08-06 00:17:13.307846
22,06:00 AM                                                             Thursday,August 8th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.82,2019-08-08,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
23,07:30 AM                                                             Thursday,August 8th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Thursday,0.82,2019-08-08,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
24,09:30 AM                                                             Thursday,August 8th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Thursday,0.84,2019-08-08,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
25,10:00 AM                                                             Thursday,August 8th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Thursday,0.84,2019-08-08,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
26,10:30 AM                                                             Thursday,August 8th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Thursday,0.87,2019-08-08,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
27,11:30 AM                                                             Thursday,August 8th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Thursday,0.87,2019-08-08,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
28,03:30 PM                                                             Thursday,August 8th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Thursday,0.85,2019-08-08,Dar es Salaam,Dodoma,2019-08-06 00:17:13.307846
