,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Friday,September 6th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Friday,0.88,2019-09-06,Dar es Salaam,Dodoma,2019-09-05 00:18:00.649883
1,07:30 AM                                                             Friday,September 6th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Friday,0.88,2019-09-06,Dar es Salaam,Dodoma,2019-09-05 00:18:00.649883
2,10:30 AM                                                             Friday,September 6th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:30 AM,Friday,0.84,2019-09-06,Dar es Salaam,Dodoma,2019-09-05 00:18:00.649883
3,06:00 AM                                                             Friday,September 6th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Friday,0.96,2019-09-06,Dodoma,Rombo,2019-09-05 00:18:00.649883
4,06:00 AM                                                             Saturday,September 7th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Saturday,0.96,2019-09-07,Dodoma,Rombo,2019-09-05 00:18:00.649883
5,06:00 AM                                                             Sunday,September 8th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Sunday,0.96,2019-09-08,Dodoma,Rombo,2019-09-05 00:18:00.649883
6,06:00 AM                                                             Monday,September 9th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Monday,0.96,2019-09-09,Dodoma,Rombo,2019-09-05 00:18:00.649883
7,06:00 AM                                                             Tuesday,September 10th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Tuesday,0.96,2019-09-10,Dodoma,Rombo,2019-09-05 00:18:00.649883
8,06:00 AM                                                             Wednesday,September 11th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Wednesday,0.96,2019-09-11,Dodoma,Rombo,2019-09-05 00:18:00.649883
9,06:00 AM                                                             Thursday,September 12th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Thursday,0.96,2019-09-12,Dodoma,Rombo,2019-09-05 00:18:00.649883
10,06:00 AM                                                             Friday,September 13th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Friday,0.96,2019-09-13,Dodoma,Rombo,2019-09-05 00:18:00.649883
11,06:00 AM                                                             Saturday,September 14th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Saturday,0.96,2019-09-14,Dodoma,Rombo,2019-09-05 00:18:00.649883
12,06:00 AM                                                             Sunday,September 15th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Sunday,0.96,2019-09-15,Dodoma,Rombo,2019-09-05 00:18:00.649883
13,06:00 AM                                                             Monday,September 16th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Monday,0.96,2019-09-16,Dodoma,Rombo,2019-09-05 00:18:00.649883
14,06:00 AM                                                             Tuesday,September 17th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Tuesday,0.96,2019-09-17,Dodoma,Rombo,2019-09-05 00:18:00.649883
15,06:00 AM                                                             Wednesday,September 18th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Wednesday,0.96,2019-09-18,Dodoma,Rombo,2019-09-05 00:18:00.649883
16,06:00 AM                                                             Friday,September 6th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-09-06,Dodoma,Moshi,2019-09-05 00:18:00.649883
17,06:00 AM                                                             Saturday,September 7th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.95,2019-09-07,Dodoma,Moshi,2019-09-05 00:18:00.649883
18,06:00 AM                                                             Sunday,September 8th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-09-08,Dodoma,Moshi,2019-09-05 00:18:00.649883
19,06:00 AM                                                             Monday,September 9th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.93,2019-09-09,Dodoma,Moshi,2019-09-05 00:18:00.649883
20,06:00 AM                                                             Tuesday,September 10th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-09-10,Dodoma,Moshi,2019-09-05 00:18:00.649883
21,06:00 AM                                                             Wednesday,September 11th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-09-11,Dodoma,Moshi,2019-09-05 00:18:00.649883
22,06:00 AM                                                             Thursday,September 12th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-09-12,Dodoma,Moshi,2019-09-05 00:18:00.649883
23,06:00 AM                                                             Friday,September 13th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-09-13,Dodoma,Moshi,2019-09-05 00:18:00.649883
24,06:00 AM                                                             Saturday,September 14th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-09-14,Dodoma,Moshi,2019-09-05 00:18:00.649883
25,06:00 AM                                                             Sunday,September 15th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-09-15,Dodoma,Moshi,2019-09-05 00:18:00.649883
26,06:00 AM                                                             Monday,September 16th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.93,2019-09-16,Dodoma,Moshi,2019-09-05 00:18:00.649883
27,06:00 AM                                                             Tuesday,September 17th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-09-17,Dodoma,Moshi,2019-09-05 00:18:00.649883
28,06:00 AM                                                             Wednesday,September 18th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-09-18,Dodoma,Moshi,2019-09-05 00:18:00.649883
29,06:00 AM                                                             Thursday,September 19th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-09-19,Dodoma,Moshi,2019-09-05 00:18:00.649883
30,06:00 AM                                                             Friday,September 20th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-09-20,Dodoma,Moshi,2019-09-05 00:18:00.649883
31,06:00 AM                                                             Saturday,September 21st,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-09-21,Dodoma,Moshi,2019-09-05 00:18:00.649883
32,06:00 AM                                                             Sunday,September 22nd,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-09-22,Dodoma,Moshi,2019-09-05 00:18:00.649883
33,06:00 AM                                                             Monday,September 23rd,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.89,2019-09-23,Dodoma,Moshi,2019-09-05 00:18:00.649883
34,06:00 AM                                                             Tuesday,September 24th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-09-24,Dodoma,Moshi,2019-09-05 00:18:00.649883
35,06:00 AM                                                             Wednesday,September 25th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-09-25,Dodoma,Moshi,2019-09-05 00:18:00.649883
36,06:00 AM                                                             Friday,September 6th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Friday,0.93,2019-09-06,Rombo,Dodoma,2019-09-05 00:18:00.649883
37,06:00 AM                                                             Saturday,September 7th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.93,2019-09-07,Rombo,Dodoma,2019-09-05 00:18:00.649883
38,06:00 AM                                                             Sunday,September 8th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.93,2019-09-08,Rombo,Dodoma,2019-09-05 00:18:00.649883
