,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Thursday,September 5th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.82,2019-09-05,Dar es Salaam,Dodoma,2019-09-04 00:17:30.292381
1,07:30 AM                                                             Thursday,September 5th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Thursday,0.82,2019-09-05,Dar es Salaam,Dodoma,2019-09-04 00:17:30.292381
2,10:30 AM                                                             Thursday,September 5th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:30 AM,Thursday,0.89,2019-09-05,Dar es Salaam,Dodoma,2019-09-04 00:17:30.292381
3,11:30 AM                                                             Thursday,September 5th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Thursday,0.89,2019-09-05,Dar es Salaam,Dodoma,2019-09-04 00:17:30.292381
4,03:30 PM                                                             Thursday,September 5th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Thursday,0.84,2019-09-05,Dar es Salaam,Dodoma,2019-09-04 00:17:30.292381
5,06:00 AM                                                             Thursday,September 5th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Thursday,0.96,2019-09-05,Dodoma,Rombo,2019-09-04 00:17:30.292381
6,06:00 AM                                                             Friday,September 6th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Friday,0.96,2019-09-06,Dodoma,Rombo,2019-09-04 00:17:30.292381
7,06:00 AM                                                             Saturday,September 7th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Saturday,0.96,2019-09-07,Dodoma,Rombo,2019-09-04 00:17:30.292381
8,06:00 AM                                                             Sunday,September 8th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Sunday,0.96,2019-09-08,Dodoma,Rombo,2019-09-04 00:17:30.292381
9,06:00 AM                                                             Monday,September 9th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Monday,0.96,2019-09-09,Dodoma,Rombo,2019-09-04 00:17:30.292381
