,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Tuesday,August 13th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Tuesday,0.86,2019-08-13,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
1,07:30 AM                                                             Tuesday,August 13th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Tuesday,0.86,2019-08-13,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
2,09:30 AM                                                             Tuesday,August 13th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Tuesday,0.85,2019-08-13,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
3,10:00 AM                                                             Tuesday,August 13th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Tuesday,0.85,2019-08-13,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
4,10:30 AM                                                             Tuesday,August 13th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Tuesday,0.83,2019-08-13,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
5,11:30 AM                                                             Tuesday,August 13th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Tuesday,0.83,2019-08-13,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
6,03:30 PM                                                             Tuesday,August 13th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Tuesday,0.86,2019-08-13,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
14,06:00 AM                                                             Wednesday,August 14th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Wednesday,0.82,2019-08-14,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
15,07:30 AM                                                             Wednesday,August 14th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Wednesday,0.82,2019-08-14,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
16,09:30 AM                                                             Wednesday,August 14th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Wednesday,0.82,2019-08-14,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
17,10:00 AM                                                             Wednesday,August 14th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Wednesday,0.82,2019-08-14,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
18,10:30 AM                                                             Wednesday,August 14th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Wednesday,0.81,2019-08-14,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
19,11:30 AM                                                             Wednesday,August 14th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Wednesday,0.81,2019-08-14,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
20,03:30 PM                                                             Wednesday,August 14th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Wednesday,0.84,2019-08-14,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
21,07:30 AM                                                             Thursday,August 15th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Thursday,0.82,2019-08-15,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
22,09:30 AM                                                             Thursday,August 15th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Thursday,0.82,2019-08-15,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
23,10:00 AM                                                             Thursday,August 15th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Thursday,0.81,2019-08-15,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
24,10:30 AM                                                             Thursday,August 15th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Thursday,0.81,2019-08-15,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
25,11:30 AM                                                             Thursday,August 15th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Thursday,0.84,2019-08-15,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
26,03:30 PM                                                             Thursday,August 15th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Thursday,0.84,2019-08-15,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
27,06:00 AM                                                             Friday,August 16th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Friday,0.82,2019-08-16,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
28,07:30 AM                                                             Friday,August 16th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Friday,0.82,2019-08-16,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
29,09:30 AM                                                             Friday,August 16th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Friday,0.84,2019-08-16,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
30,10:00 AM                                                             Friday,August 16th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Friday,0.84,2019-08-16,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
31,10:30 AM                                                             Friday,August 16th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Friday,0.81,2019-08-16,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
32,11:30 AM                                                             Friday,August 16th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Friday,0.81,2019-08-16,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
33,03:30 PM                                                             Friday,August 16th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Friday,0.84,2019-08-16,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
34,06:00 AM                                                             Saturday,August 17th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.84,2019-08-17,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
35,07:30 AM                                                             Saturday,August 17th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Saturday,0.84,2019-08-17,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
36,09:30 AM                                                             Saturday,August 17th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Saturday,0.82,2019-08-17,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
37,10:00 AM                                                             Saturday,August 17th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Saturday,0.82,2019-08-17,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
38,11:30 AM                                                             Saturday,August 17th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Saturday,0.81,2019-08-17,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
39,03:30 PM                                                             Saturday,August 17th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Saturday,0.81,2019-08-17,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
40,06:00 AM                                                             Sunday,August 18th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.81,2019-08-18,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
41,07:30 AM                                                             Sunday,August 18th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Sunday,0.81,2019-08-18,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
42,09:30 AM                                                             Sunday,August 18th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Sunday,0.84,2019-08-18,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
43,10:00 AM                                                             Sunday,August 18th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Sunday,0.84,2019-08-18,Dar es Salaam,Dodoma,2019-08-12 00:17:27.355436
44,06:00 AM                                                             Tuesday,August 13th,Dodoma,20000,Dar es Salaam,Luxury Bus,06:00 AM,Tuesday,0.86,2019-08-13,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
45,07:30 AM                                                             Tuesday,August 13th,Dodoma,18000,Dar es Salaam,Luxury Bus,07:30 AM,Tuesday,0.86,2019-08-13,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
46,10:00 AM                                                             Tuesday,August 13th,Dodoma,35000,Dar es Salaam,Luxury Bus,10:00 AM,Tuesday,0.84,2019-08-13,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
47,10:30 AM                                                             Tuesday,August 13th,Dodoma,37000,Dar es Salaam,Luxury Bus,10:30 AM,Tuesday,0.84,2019-08-13,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
48,11:30 AM                                                             Tuesday,August 13th,Dodoma,25000,Dar es Salaam,Luxury Bus,11:30 AM,Tuesday,0.91,2019-08-13,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
49,02:30 PM                                                             Tuesday,August 13th,Dodoma,20000,Dar es Salaam,Luxury Bus,02:30 PM,Tuesday,0.91,2019-08-13,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
50,06:00 AM                                                             Wednesday,August 14th,Dodoma,20000,Dar es Salaam,Luxury Bus,06:00 AM,Wednesday,0.81,2019-08-14,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
51,07:30 AM                                                             Wednesday,August 14th,Dodoma,18000,Dar es Salaam,Luxury Bus,07:30 AM,Wednesday,0.81,2019-08-14,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
52,09:30 AM                                                             Wednesday,August 14th,Dodoma,25000,Dar es Salaam,Luxury Bus,09:30 AM,Wednesday,0.94,2019-08-14,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
53,10:00 AM                                                             Wednesday,August 14th,Dodoma,35000,Dar es Salaam,Luxury Bus,10:00 AM,Wednesday,0.94,2019-08-14,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
54,10:30 AM                                                             Wednesday,August 14th,Dodoma,37000,Dar es Salaam,Luxury Bus,10:30 AM,Wednesday,0.81,2019-08-14,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
55,11:30 AM                                                             Wednesday,August 14th,Dodoma,25000,Dar es Salaam,Luxury Bus,11:30 AM,Wednesday,0.81,2019-08-14,Dodoma,Dar es Salaam,2019-08-12 00:17:27.355436
