,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Thursday,August 22nd,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.88,2019-08-22,Dar es Salaam,Dodoma,2019-08-21 00:17:54.963360
1,07:30 AM                                                             Thursday,August 22nd,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Thursday,0.88,2019-08-22,Dar es Salaam,Dodoma,2019-08-21 00:17:54.963360
2,09:30 AM                                                             Thursday,August 22nd,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Thursday,0.87,2019-08-22,Dar es Salaam,Dodoma,2019-08-21 00:17:54.963360
3,10:00 AM                                                             Thursday,August 22nd,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Thursday,0.87,2019-08-22,Dar es Salaam,Dodoma,2019-08-21 00:17:54.963360
4,10:30 AM                                                             Thursday,August 22nd,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Thursday,0.83,2019-08-22,Dar es Salaam,Dodoma,2019-08-21 00:17:54.963360
5,11:30 AM                                                             Thursday,August 22nd,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Thursday,0.83,2019-08-22,Dar es Salaam,Dodoma,2019-08-21 00:17:54.963360
6,03:30 PM                                                             Thursday,August 22nd,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Thursday,0.84,2019-08-22,Dar es Salaam,Dodoma,2019-08-21 00:17:54.963360
7,06:00 AM                                                             Thursday,August 22nd,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-22,Dodoma,Moshi,2019-08-21 00:17:54.963360
8,06:00 AM                                                             Friday,August 23rd,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-08-23,Dodoma,Moshi,2019-08-21 00:17:54.963360
9,06:00 AM                                                             Saturday,August 24th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-24,Dodoma,Moshi,2019-08-21 00:17:54.963360
10,06:00 AM                                                             Sunday,August 25th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-25,Dodoma,Moshi,2019-08-21 00:17:54.963360
11,06:00 AM                                                             Monday,August 26th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.95,2019-08-26,Dodoma,Moshi,2019-08-21 00:17:54.963360
12,06:00 AM                                                             Tuesday,August 27th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-08-27,Dodoma,Moshi,2019-08-21 00:17:54.963360
13,06:00 AM                                                             Wednesday,August 28th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-08-28,Dodoma,Moshi,2019-08-21 00:17:54.963360
14,06:00 AM                                                             Thursday,August 29th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-29,Dodoma,Moshi,2019-08-21 00:17:54.963360
15,06:00 AM                                                             Friday,August 30th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-08-30,Dodoma,Moshi,2019-08-21 00:17:54.963360
