,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,07:30 AM                                                             Thursday,August 29th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Thursday,0.87,2019-08-29,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
1,09:30 AM                                                             Thursday,August 29th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Thursday,0.87,2019-08-29,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
2,10:00 AM                                                             Thursday,August 29th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Thursday,0.87,2019-08-29,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
3,10:30 AM                                                             Thursday,August 29th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Thursday,0.87,2019-08-29,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
4,11:30 AM                                                             Thursday,August 29th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Thursday,0.82,2019-08-29,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
5,03:30 PM                                                             Thursday,August 29th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Thursday,0.82,2019-08-29,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
6,06:00 AM                                                             Thursday,August 29th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-29,Dodoma,Moshi,2019-08-28 00:18:28.804500
7,06:00 AM                                                             Friday,August 30th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-08-30,Dodoma,Moshi,2019-08-28 00:18:28.804500
8,06:00 AM                                                             Saturday,August 31st,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-31,Dodoma,Moshi,2019-08-28 00:18:28.804500
9,06:00 AM                                                             Thursday,August 29th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-29,Rombo,Dodoma,2019-08-28 00:18:28.804500
10,06:00 AM                                                             Friday,August 30th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Friday,0.93,2019-08-30,Rombo,Dodoma,2019-08-28 00:18:28.804500
11,06:00 AM                                                             Saturday,August 31st,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-31,Rombo,Dodoma,2019-08-28 00:18:28.804500
12,07:50 AM                                                             Thursday,August 29th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Thursday,0.91,2019-08-29,Moshi,Dodoma,2019-08-28 00:18:28.804500
13,06:00 AM                                                             Thursday,August 29th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-29,Mbeya,Dodoma,2019-08-28 00:18:28.804500
14,06:00 AM                                                             Friday,August 30th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Friday,0.93,2019-08-30,Mbeya,Dodoma,2019-08-28 00:18:28.804500
15,06:00 AM                                                             Saturday,August 31st,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-31,Mbeya,Dodoma,2019-08-28 00:18:28.804500
22,06:00 AM                                                             Friday,August 30th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Friday,0.86,2019-08-30,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
23,07:30 AM                                                             Friday,August 30th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Friday,0.86,2019-08-30,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
24,09:30 AM                                                             Friday,August 30th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Friday,0.87,2019-08-30,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
25,10:00 AM                                                             Friday,August 30th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Friday,0.87,2019-08-30,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
26,10:30 AM                                                             Friday,August 30th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Friday,0.81,2019-08-30,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
27,11:30 AM                                                             Friday,August 30th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Friday,0.81,2019-08-30,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
28,07:30 AM                                                             Saturday,August 31st,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Saturday,0.84,2019-08-31,Dar es Salaam,Dodoma,2019-08-28 00:18:28.804500
