,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Tuesday,September 3rd,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Tuesday,0.88,2019-09-03,Dar es Salaam,Dodoma,2019-09-02 00:18:19.173801
1,07:30 AM                                                             Tuesday,September 3rd,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Tuesday,0.88,2019-09-03,Dar es Salaam,Dodoma,2019-09-02 00:18:19.173801
2,10:30 AM                                                             Tuesday,September 3rd,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Tuesday,0.91,2019-09-03,Dar es Salaam,Dodoma,2019-09-02 00:18:19.173801
3,11:30 AM                                                             Tuesday,September 3rd,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Tuesday,0.91,2019-09-03,Dar es Salaam,Dodoma,2019-09-02 00:18:19.173801
4,03:30 PM                                                             Tuesday,September 3rd,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Tuesday,0.84,2019-09-03,Dar es Salaam,Dodoma,2019-09-02 00:18:19.173801
5,06:00 AM                                                             Tuesday,September 3rd,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Tuesday,0.96,2019-09-03,Dodoma,Rombo,2019-09-02 00:18:19.173801
6,06:00 AM                                                             Wednesday,September 4th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Wednesday,0.96,2019-09-04,Dodoma,Rombo,2019-09-02 00:18:19.173801
7,06:00 AM                                                             Thursday,September 5th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Thursday,0.96,2019-09-05,Dodoma,Rombo,2019-09-02 00:18:19.173801
8,06:00 AM                                                             Friday,September 6th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Friday,0.96,2019-09-06,Dodoma,Rombo,2019-09-02 00:18:19.173801
9,06:00 AM                                                             Saturday,September 7th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Saturday,0.96,2019-09-07,Dodoma,Rombo,2019-09-02 00:18:19.173801
10,06:00 AM                                                             Sunday,September 8th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Sunday,0.96,2019-09-08,Dodoma,Rombo,2019-09-02 00:18:19.173801
11,06:00 AM                                                             Monday,September 9th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Monday,0.96,2019-09-09,Dodoma,Rombo,2019-09-02 00:18:19.173801
12,06:00 AM                                                             Tuesday,September 10th,Dodoma,34000,Rombo,Luxury Bus,06:00 AM,Tuesday,0.96,2019-09-10,Dodoma,Rombo,2019-09-02 00:18:19.173801
13,06:00 AM                                                             Tuesday,September 3rd,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-09-03,Dodoma,Moshi,2019-09-02 00:18:19.173801
14,06:00 AM                                                             Wednesday,September 4th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-09-04,Dodoma,Moshi,2019-09-02 00:18:19.173801
15,06:00 AM                                                             Thursday,September 5th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-09-05,Dodoma,Moshi,2019-09-02 00:18:19.173801
16,06:00 AM                                                             Friday,September 6th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-09-06,Dodoma,Moshi,2019-09-02 00:18:19.173801
17,06:00 AM                                                             Saturday,September 7th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-09-07,Dodoma,Moshi,2019-09-02 00:18:19.173801
18,06:00 AM                                                             Sunday,September 8th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-09-08,Dodoma,Moshi,2019-09-02 00:18:19.173801
19,06:00 AM                                                             Monday,September 9th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.93,2019-09-09,Dodoma,Moshi,2019-09-02 00:18:19.173801
20,06:00 AM                                                             Tuesday,September 10th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-09-10,Dodoma,Moshi,2019-09-02 00:18:19.173801
21,06:00 AM                                                             Tuesday,September 3rd,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Tuesday,0.93,2019-09-03,Rombo,Dodoma,2019-09-02 00:18:19.173801
22,06:00 AM                                                             Wednesday,September 4th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Wednesday,0.93,2019-09-04,Rombo,Dodoma,2019-09-02 00:18:19.173801
23,06:00 AM                                                             Thursday,September 5th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Thursday,0.93,2019-09-05,Rombo,Dodoma,2019-09-02 00:18:19.173801
24,06:00 AM                                                             Friday,September 6th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Friday,0.93,2019-09-06,Rombo,Dodoma,2019-09-02 00:18:19.173801
25,06:00 AM                                                             Saturday,September 7th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.93,2019-09-07,Rombo,Dodoma,2019-09-02 00:18:19.173801
26,06:00 AM                                                             Sunday,September 8th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.93,2019-09-08,Rombo,Dodoma,2019-09-02 00:18:19.173801
27,06:00 AM                                                             Monday,September 9th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Monday,0.93,2019-09-09,Rombo,Dodoma,2019-09-02 00:18:19.173801
28,06:00 AM                                                             Tuesday,September 10th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Tuesday,0.93,2019-09-10,Rombo,Dodoma,2019-09-02 00:18:19.173801
29,07:50 AM                                                             Tuesday,September 3rd,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Tuesday,0.89,2019-09-03,Moshi,Dodoma,2019-09-02 00:18:19.173801
30,07:50 AM                                                             Wednesday,September 4th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Wednesday,0.93,2019-09-04,Moshi,Dodoma,2019-09-02 00:18:19.173801
31,07:50 AM                                                             Thursday,September 5th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Thursday,0.89,2019-09-05,Moshi,Dodoma,2019-09-02 00:18:19.173801
32,07:50 AM                                                             Friday,September 6th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Friday,0.89,2019-09-06,Moshi,Dodoma,2019-09-02 00:18:19.173801
33,07:50 AM                                                             Saturday,September 7th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Saturday,0.89,2019-09-07,Moshi,Dodoma,2019-09-02 00:18:19.173801
34,07:50 AM                                                             Sunday,September 8th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Sunday,0.89,2019-09-08,Moshi,Dodoma,2019-09-02 00:18:19.173801
35,07:50 AM                                                             Monday,September 9th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Monday,0.89,2019-09-09,Moshi,Dodoma,2019-09-02 00:18:19.173801
