,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,07:30 AM                                                             Sunday,September 1st,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Sunday,0.95,2019-09-01,Dar es Salaam,Dodoma,2019-08-31 00:17:55.731428
1,10:30 AM                                                             Sunday,September 1st,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Sunday,0.95,2019-09-01,Dar es Salaam,Dodoma,2019-08-31 00:17:55.731428
2,11:30 AM                                                             Sunday,September 1st,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Sunday,0.97,2019-09-01,Dar es Salaam,Dodoma,2019-08-31 00:17:55.731428
3,03:30 PM                                                             Sunday,September 1st,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Sunday,0.97,2019-09-01,Dar es Salaam,Dodoma,2019-08-31 00:17:55.731428
4,06:00 AM                                                             Sunday,September 1st,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.96,2019-09-01,Dodoma,Moshi,2019-08-31 00:17:55.731428
5,06:00 AM                                                             Tuesday,September 3rd,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-09-03,Dodoma,Moshi,2019-08-31 00:17:55.731428
6,06:00 AM                                                             Wednesday,September 4th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-09-04,Dodoma,Moshi,2019-08-31 00:17:55.731428
7,06:00 AM                                                             Thursday,September 5th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-09-05,Dodoma,Moshi,2019-08-31 00:17:55.731428
8,07:50 AM                                                             Sunday,September 1st,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Sunday,0.89,2019-09-01,Moshi,Dodoma,2019-08-31 00:17:55.731428
9,07:50 AM                                                             Monday,September 2nd,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Monday,0.89,2019-09-02,Moshi,Dodoma,2019-08-31 00:17:55.731428
10,07:50 AM                                                             Tuesday,September 3rd,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Tuesday,0.89,2019-09-03,Moshi,Dodoma,2019-08-31 00:17:55.731428
