,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Saturday,August 24th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.95,2019-08-24,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
1,07:30 AM                                                             Saturday,August 24th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Saturday,0.95,2019-08-24,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
2,09:30 AM                                                             Saturday,August 24th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Saturday,0.91,2019-08-24,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
3,10:00 AM                                                             Saturday,August 24th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Saturday,0.91,2019-08-24,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
4,10:30 AM                                                             Saturday,August 24th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Saturday,0.92,2019-08-24,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
5,11:30 AM                                                             Saturday,August 24th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Saturday,0.92,2019-08-24,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
6,03:30 PM                                                             Saturday,August 24th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Saturday,0.82,2019-08-24,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
7,06:00 AM                                                             Saturday,August 24th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-24,Dodoma,Moshi,2019-08-23 00:17:58.227015
8,06:00 AM                                                             Sunday,August 25th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-25,Dodoma,Moshi,2019-08-23 00:17:58.227015
9,06:00 AM                                                             Monday,August 26th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.96,2019-08-26,Dodoma,Moshi,2019-08-23 00:17:58.227015
10,06:00 AM                                                             Tuesday,August 27th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-08-27,Dodoma,Moshi,2019-08-23 00:17:58.227015
11,06:00 AM                                                             Wednesday,August 28th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-08-28,Dodoma,Moshi,2019-08-23 00:17:58.227015
12,06:00 AM                                                             Thursday,August 29th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-29,Dodoma,Moshi,2019-08-23 00:17:58.227015
13,06:00 AM                                                             Friday,August 30th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-08-30,Dodoma,Moshi,2019-08-23 00:17:58.227015
14,06:00 AM                                                             Saturday,August 31st,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-31,Dodoma,Moshi,2019-08-23 00:17:58.227015
15,06:00 AM                                                             Saturday,August 24th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-24,Rombo,Dodoma,2019-08-23 00:17:58.227015
16,06:00 AM                                                             Sunday,August 25th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-25,Rombo,Dodoma,2019-08-23 00:17:58.227015
17,06:00 AM                                                             Monday,August 26th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Monday,0.93,2019-08-26,Rombo,Dodoma,2019-08-23 00:17:58.227015
18,06:00 AM                                                             Tuesday,August 27th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Tuesday,0.93,2019-08-27,Rombo,Dodoma,2019-08-23 00:17:58.227015
19,07:50 AM                                                             Saturday,August 24th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Saturday,0.95,2019-08-24,Moshi,Dodoma,2019-08-23 00:17:58.227015
20,07:50 AM                                                             Sunday,August 25th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Sunday,0.89,2019-08-25,Moshi,Dodoma,2019-08-23 00:17:58.227015
21,07:50 AM                                                             Monday,August 26th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Monday,0.93,2019-08-26,Moshi,Dodoma,2019-08-23 00:17:58.227015
22,07:50 AM                                                             Tuesday,August 27th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Tuesday,0.89,2019-08-27,Moshi,Dodoma,2019-08-23 00:17:58.227015
23,07:50 AM                                                             Wednesday,August 28th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Wednesday,0.89,2019-08-28,Moshi,Dodoma,2019-08-23 00:17:58.227015
24,07:50 AM                                                             Thursday,August 29th,Moshi,27000,Dodoma,Luxury Bus,07:50 AM,Thursday,0.89,2019-08-29,Moshi,Dodoma,2019-08-23 00:17:58.227015
25,06:00 AM                                                             Saturday,August 24th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Saturday,0.96,2019-08-24,Mbeya,Dodoma,2019-08-23 00:17:58.227015
26,06:00 AM                                                             Sunday,August 25th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.93,2019-08-25,Mbeya,Dodoma,2019-08-23 00:17:58.227015
27,06:00 AM                                                             Monday,August 26th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Monday,0.93,2019-08-26,Mbeya,Dodoma,2019-08-23 00:17:58.227015
35,06:00 AM                                                             Sunday,August 25th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Sunday,0.88,2019-08-25,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
36,07:30 AM                                                             Sunday,August 25th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Sunday,0.88,2019-08-25,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
37,09:30 AM                                                             Sunday,August 25th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Sunday,0.84,2019-08-25,Dar es Salaam,Dodoma,2019-08-23 00:17:58.227015
