,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Tuesday,August 6th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Tuesday,0.82,2019-08-06,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
1,07:30 AM                                                             Tuesday,August 6th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Tuesday,0.82,2019-08-06,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
2,09:30 AM                                                             Tuesday,August 6th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Tuesday,0.82,2019-08-06,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
3,10:00 AM                                                             Tuesday,August 6th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Tuesday,0.82,2019-08-06,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
4,11:30 AM                                                             Tuesday,August 6th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Tuesday,0.81,2019-08-06,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
5,03:30 PM                                                             Tuesday,August 6th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Tuesday,0.81,2019-08-06,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
6,06:00 AM                                                             Tuesday,August 6th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.96,2019-08-06,Dodoma,Moshi,2019-08-05 06:35:58.903311
7,06:00 AM                                                             Wednesday,August 7th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-08-07,Dodoma,Moshi,2019-08-05 06:35:58.903311
8,06:00 AM                                                             Tuesday,August 6th,Rombo,34000,Dodoma,Luxury Bus,06:00 AM,Tuesday,0.95,2019-08-06,Rombo,Dodoma,2019-08-05 06:35:58.903311
9,06:30 AM                                                             Tuesday,August 6th,Moshi,27000,Dodoma,Luxury Bus,06:30 AM,Tuesday,0.95,2019-08-06,Moshi,Dodoma,2019-08-05 06:35:58.903311
10,06:00 AM                                                             Tuesday,August 6th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Tuesday,0.95,2019-08-06,Mbeya,Dodoma,2019-08-05 06:35:58.903311
11,06:00 AM                                                             Wednesday,August 7th,Mbeya,28000,Dodoma,Luxury Bus,06:00 AM,Wednesday,0.88,2019-08-07,Mbeya,Dodoma,2019-08-05 06:35:58.903311
18,06:00 AM                                                             Wednesday,August 7th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Wednesday,0.91,2019-08-07,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
19,07:30 AM                                                             Wednesday,August 7th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Wednesday,0.91,2019-08-07,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
20,10:00 AM                                                             Thursday,August 8th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Thursday,0.82,2019-08-08,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
21,03:30 PM                                                             Thursday,August 8th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Thursday,0.82,2019-08-08,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
22,10:00 AM                                                             Friday,August 9th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Friday,0.82,2019-08-09,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
23,10:00 AM                                                             Saturday,August 10th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Saturday,0.82,2019-08-10,Dar es Salaam,Dodoma,2019-08-05 06:35:58.903311
24,06:00 AM                                                             Tuesday,August 6th,Dodoma,28000,Mbeya,Luxury Bus,06:00 AM,Tuesday,0.95,2019-08-06,Dodoma,Mbeya,2019-08-05 06:35:58.903311
25,06:00 AM                                                             Wednesday,August 7th,Dodoma,28000,Mbeya,Luxury Bus,06:00 AM,Wednesday,0.93,2019-08-07,Dodoma,Mbeya,2019-08-05 06:35:58.903311
26,06:00 AM                                                             Friday,August 9th,Dodoma,28000,Mbeya,Luxury Bus,06:00 AM,Friday,0.93,2019-08-09,Dodoma,Mbeya,2019-08-05 06:35:58.903311
27,06:00 AM                                                             Tuesday,August 6th,Dodoma,20000,Dar es Salaam,Luxury Bus,06:00 AM,Tuesday,0.86,2019-08-06,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
28,07:30 AM                                                             Tuesday,August 6th,Dodoma,18000,Dar es Salaam,Luxury Bus,07:30 AM,Tuesday,0.86,2019-08-06,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
29,09:30 AM                                                             Tuesday,August 6th,Dodoma,25000,Dar es Salaam,Luxury Bus,09:30 AM,Tuesday,0.82,2019-08-06,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
30,10:00 AM                                                             Tuesday,August 6th,Dodoma,35000,Dar es Salaam,Luxury Bus,10:00 AM,Tuesday,0.82,2019-08-06,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
31,10:30 AM                                                             Tuesday,August 6th,Dodoma,37000,Dar es Salaam,Luxury Bus,10:30 AM,Tuesday,0.82,2019-08-06,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
32,11:30 AM                                                             Tuesday,August 6th,Dodoma,25000,Dar es Salaam,Luxury Bus,11:30 AM,Tuesday,0.82,2019-08-06,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
33,02:30 PM                                                             Tuesday,August 6th,Dodoma,20000,Dar es Salaam,Luxury Bus,02:30 PM,Tuesday,0.82,2019-08-06,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
34,06:00 AM                                                             Wednesday,August 7th,Dodoma,20000,Dar es Salaam,Luxury Bus,06:00 AM,Wednesday,0.82,2019-08-07,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
35,07:30 AM                                                             Wednesday,August 7th,Dodoma,18000,Dar es Salaam,Luxury Bus,07:30 AM,Wednesday,0.82,2019-08-07,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
36,06:00 AM                                                             Friday,August 9th,Dodoma,20000,Dar es Salaam,Luxury Bus,06:00 AM,Friday,0.85,2019-08-09,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
37,07:30 AM                                                             Friday,August 9th,Dodoma,18000,Dar es Salaam,Luxury Bus,07:30 AM,Friday,0.85,2019-08-09,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
38,06:00 AM                                                             Monday,August 12th,Dodoma,20000,Dar es Salaam,Luxury Bus,06:00 AM,Monday,0.88,2019-08-12,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
39,07:30 AM                                                             Monday,August 12th,Dodoma,18000,Dar es Salaam,Luxury Bus,07:30 AM,Monday,0.88,2019-08-12,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
40,09:30 AM                                                             Monday,August 12th,Dodoma,25000,Dar es Salaam,Luxury Bus,09:30 AM,Monday,0.82,2019-08-12,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
41,10:00 AM                                                             Monday,August 12th,Dodoma,35000,Dar es Salaam,Luxury Bus,10:00 AM,Monday,0.82,2019-08-12,Dodoma,Dar es Salaam,2019-08-05 06:35:58.903311
