,departure,date,destination,fare,origin,type,time,weekday,passengers,search_date,search_destination,search_origin,created_at
0,06:00 AM                                                             Monday,August 26th,Dar es Salaam,20000,Dodoma,Luxury Bus,06:00 AM,Monday,0.84,2019-08-26,Dar es Salaam,Dodoma,2019-08-25 00:17:52.038943
1,07:30 AM                                                             Monday,August 26th,Dar es Salaam,20000,Dodoma,Luxury Bus,07:30 AM,Monday,0.84,2019-08-26,Dar es Salaam,Dodoma,2019-08-25 00:17:52.038943
2,09:30 AM                                                             Monday,August 26th,Dar es Salaam,25000,Dodoma,Luxury Bus,09:30 AM,Monday,0.82,2019-08-26,Dar es Salaam,Dodoma,2019-08-25 00:17:52.038943
3,10:00 AM                                                             Monday,August 26th,Dar es Salaam,35000,Dodoma,Luxury Bus,10:00 AM,Monday,0.82,2019-08-26,Dar es Salaam,Dodoma,2019-08-25 00:17:52.038943
4,10:30 AM                                                             Monday,August 26th,Dar es Salaam,37000,Dodoma,Luxury Bus,10:30 AM,Monday,0.87,2019-08-26,Dar es Salaam,Dodoma,2019-08-25 00:17:52.038943
5,11:30 AM                                                             Monday,August 26th,Dar es Salaam,25000,Dodoma,Luxury Bus,11:30 AM,Monday,0.87,2019-08-26,Dar es Salaam,Dodoma,2019-08-25 00:17:52.038943
6,03:30 PM                                                             Monday,August 26th,Dar es Salaam,20000,Dodoma,Luxury Bus,03:30 PM,Monday,0.85,2019-08-26,Dar es Salaam,Dodoma,2019-08-25 00:17:52.038943
7,06:00 AM                                                             Monday,August 26th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Monday,0.98,2019-08-26,Dodoma,Moshi,2019-08-25 00:17:52.038943
8,06:00 AM                                                             Tuesday,August 27th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Tuesday,0.93,2019-08-27,Dodoma,Moshi,2019-08-25 00:17:52.038943
9,06:00 AM                                                             Wednesday,August 28th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Wednesday,0.93,2019-08-28,Dodoma,Moshi,2019-08-25 00:17:52.038943
10,06:00 AM                                                             Thursday,August 29th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Thursday,0.93,2019-08-29,Dodoma,Moshi,2019-08-25 00:17:52.038943
11,06:00 AM                                                             Friday,August 30th,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Friday,0.93,2019-08-30,Dodoma,Moshi,2019-08-25 00:17:52.038943
12,06:00 AM                                                             Saturday,August 31st,Dodoma,27000,Moshi,Luxury Bus,06:00 AM,Saturday,0.93,2019-08-31,Dodoma,Moshi,2019-08-25 00:17:52.038943
