,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
0,Jkia @ Paul's Cafe,08:15 AM,"Sun,Aug 18,2019",East African Shuttles,2019-08-17 06:59:52.567349,Arusha,Nairobi,2500,2019-08-18,Arusha,Nairobi,22.0
1,Jkia @ Paul's Cafe,02:00 PM,"Sun,Aug 18,2019",East African Shuttles,2019-08-17 06:59:52.567370,Arusha,Nairobi,2500,2019-08-18,Arusha,Nairobi,22.0
2,Amagoro,07:10 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:05.199082,Nakuru,Kimaiti,700,2019-08-18,Nakuru,Kimaiti,66.0
3,Amagoro,08:30 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:05.199100,Nakuru,Kimaiti,800,2019-08-18,Nakuru,Kimaiti,48.0
4,KERICHO,12:00 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:07.340795,Kisumu,Kericho,1400,2019-08-18,Kisumu,Kericho,13.0
5,KERICHO,12:30 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:07.340816,Kisumu,Kericho,1400,2019-08-18,Kisumu,Kericho,0.0
6,KERICHO,12:30 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:07.340819,Kisumu,Kericho,1400,2019-08-18,Kisumu,Kericho,10.0
7,KERICHO,12:45 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:07.340821,Kisumu,Kericho,1400,2019-08-18,Kisumu,Kericho,19.0
8,KERICHO,01:00 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:07.340824,Kisumu,Kericho,1400,2019-08-18,Kisumu,Kericho,22.0
9,KERICHO,02:00 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:07.340826,Kisumu,Kericho,1400,2019-08-18,Kisumu,Kericho,28.0
10,KERICHO,03:00 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:07.340829,Kisumu,Kericho,1400,2019-08-18,Kisumu,Kericho,29.0
11,KERICHO,06:00 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:07.340831,Kisumu,Kericho,1400,2019-08-18,Kisumu,Kericho,10.0
12,Cheptais,05:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:11.949534,Westlands,Cheptais,900,2019-08-18,Westlands,Cheptais,65.0
13,Cheptais,05:30 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:11.949554,Westlands,Cheptais,900,2019-08-18,Westlands,Cheptais,66.0
14,Railways,08:00 AM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:13.554475,Rongo,Nairobi,1000,2019-08-18,Rongo,Nairobi,10.0
15,Railways,08:30 AM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:13.554497,Rongo,Nairobi,1000,2019-08-18,Rongo,Nairobi,16.0
16,Railways,09:00 AM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:13.554499,Rongo,Nairobi,1000,2019-08-18,Rongo,Nairobi,30.0
17,Railways,09:15 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:13.554502,Rongo,Nairobi,1000,2019-08-18,Rongo,Nairobi,21.0
18,Railways,09:15 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:13.554504,Rongo,Nairobi,1000,2019-08-18,Rongo,Nairobi,20.0
19,Railways,09:30 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:13.554507,Rongo,Nairobi,1000,2019-08-18,Rongo,Nairobi,20.0
20,Esidende,06:30 AM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:17.664328,Kangemi,Koyonzo,600,2019-08-18,Kangemi,Koyonzo,67.0
21,Esidende,05:30 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:17.664349,Kangemi,Koyonzo,600,2019-08-18,Kangemi,Koyonzo,67.0
22,Cheptais,05:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:18.899729,Naivasha,Chesikaki,900,2019-08-18,Naivasha,Chesikaki,65.0
23,Cheptais,05:30 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:18.899750,Naivasha,Chesikaki,900,2019-08-18,Naivasha,Chesikaki,66.0
24,Kangemi,09:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:20.048497,Kwa Muthoni,Uthiru,1000,2019-08-18,Kwa%20muthoni,Uthiru,48.0
25,Kangemi,09:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:20.048516,Kwa Muthoni,Uthiru,1000,2019-08-18,Kwa%20muthoni,Uthiru,48.0
26,Country Bus,09:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:21.601749,Kimilili,Nakuru,1000,2019-08-18,Kimilili,Nakuru,48.0
27,Amagoro,07:10 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:22.642307,Uthiru,Kanduyi,700,2019-08-18,Uthiru,Kanduyi,66.0
28,Amagoro,08:30 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:22.642326,Uthiru,Kanduyi,800,2019-08-18,Uthiru,Kanduyi,48.0
29,Country Bus,09:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:23.920129,Sirisia,Nairobi,1000,2019-08-18,Sirisia,Nairobi,48.0
30,Country Bus,09:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:24.775604,Chimoi,Uthiru,1000,2019-08-18,Chimoi,Uthiru,48.0
31,Kangemi,09:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:25.663293,Kitale,Uthiru,1000,2019-08-18,Kitale,Uthiru,48.0
32,Kangemi,09:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:25.663311,Kitale,Uthiru,1000,2019-08-18,Kitale,Uthiru,48.0
33,Railways,08:30 AM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:27.220524,Kakamega,Nairobi,1450,2019-08-18,Kakamega,Nairobi,15.0
34,Railways,09:00 AM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:27.220545,Kakamega,Nairobi,1450,2019-08-18,Kakamega,Nairobi,26.0
35,Railways,07:45 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:27.220548,Kakamega,Nairobi,1450,2019-08-18,Kakamega,Nairobi,21.0
36,Railways,09:00 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:27.220550,Kakamega,Nairobi,1450,2019-08-18,Kakamega,Nairobi,27.0
37,Country Bus,09:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:29.479475,Kimaiti,Westlands,1000,2019-08-18,Kimaiti,Westlands,48.0
38,Jkia @ Paul's Cafe,08:15 AM,"Sun,Aug 18,2019",East African Shuttles,2019-08-17 07:00:31.976295,Arusha,Parkside Hotel,2500,2019-08-18,Arusha,Parkside%20hotel,22.0
39,Jkia @ Paul's Cafe,02:00 PM,"Sun,Aug 18,2019",East African Shuttles,2019-08-17 07:00:31.976314,Arusha,Parkside Hotel,2500,2019-08-18,Arusha,Parkside%20hotel,22.0
40,Chavakali,08:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:33.853495,Naivasha,Kakamega,700,2019-08-18,Naivasha,Kakamega,67.0
41,NAKURU,10:00 AM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:39.859901,Busia,Nakuru,1000,2019-08-18,Busia,Nakuru,13.0
42,NAKURU,10:30 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:39.859921,Busia,Nakuru,1000,2019-08-18,Busia,Nakuru,10.0
43,NAKURU,11:30 PM,"Sun,Aug 18,2019",EasyCoach,2019-08-17 07:00:39.859924,Busia,Nakuru,1000,2019-08-18,Busia,Nakuru,29.0
44,Cheptais,05:00 PM,"Sun,Aug 18,2019",Greenline,2019-08-17 07:00:42.832057,Uthiru,Cheptais,900,2019-08-18,Uthiru,Cheptais,65.0
