,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
36,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:03.733044,Naivasha,Chesikaki,800,2019-09-05,Naivasha,Chesikaki,48.0
37,Kangemi,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:07.253983,Kwa Muthoni,Uthiru,1000,2019-09-05,Kwa%20muthoni,Uthiru,47.0
38,Kangemi,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:07.253999,Kwa Muthoni,Uthiru,1000,2019-09-05,Kwa%20muthoni,Uthiru,48.0
39,Busia,07:30 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:13.288354,Maseno,Busia,300,2019-09-05,Maseno,Busia,20.0
40,Busia,06:45 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:13.288374,Maseno,Busia,300,2019-09-05,Maseno,Busia,30.0
41,Busia,07:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:46:13.288376,Maseno,Busia,300,2019-09-05,Maseno,Busia,25.0
42,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:15.490720,Kimilili,Nakuru,1000,2019-09-05,Kimilili,Nakuru,48.0
43,Amagoro,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:18.208907,Uthiru,Kanduyi,700,2019-09-05,Uthiru,Kanduyi,66.0
44,Amagoro,08:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:18.208926,Uthiru,Kanduyi,800,2019-09-05,Uthiru,Kanduyi,48.0
45,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:21.562928,Sirisia,Nairobi,1000,2019-09-05,Sirisia,Nairobi,48.0
46,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:27.392185,Chimoi,Uthiru,1000,2019-09-05,Chimoi,Uthiru,48.0
47,Kangemi,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:46:31.481077,Kitale,Uthiru,1000,2019-09-05,Kitale,Uthiru,47.0
