,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
0,Jkia @ Paul's Cafe,08:15 AM,"Wed,Sep 04,2019",East African Shuttles,2019-09-03 00:47:16.629781,Arusha,Nairobi,2500,2019-09-04,Arusha,Nairobi,22.0
1,Jkia @ Paul's Cafe,02:00 PM,"Wed,Sep 04,2019",East African Shuttles,2019-09-03 00:47:16.629804,Arusha,Nairobi,2500,2019-09-04,Arusha,Nairobi,22.0
2,SIRARE,08:00 AM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:22.010348,Awendo,Sirare,1000,2019-09-04,Awendo,Sirare,31.0
3,SIRARE,07:30 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:22.010368,Awendo,Sirare,1000,2019-09-04,Awendo,Sirare,29.0
4,Amagoro,07:10 PM,"Wed,Sep 04,2019",Greenline,2019-09-03 00:47:23.952646,Nakuru,Kimaiti,700,2019-09-04,Nakuru,Kimaiti,66.0
5,Amagoro,08:30 PM,"Wed,Sep 04,2019",Greenline,2019-09-03 00:47:23.952672,Nakuru,Kimaiti,800,2019-09-04,Nakuru,Kimaiti,48.0
6,KERICHO,12:00 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:36.320021,Kisumu,Kericho,1400,2019-09-04,Kisumu,Kericho,10.0
7,KERICHO,12:30 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:36.320041,Kisumu,Kericho,1400,2019-09-04,Kisumu,Kericho,19.0
8,KERICHO,12:30 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:36.320044,Kisumu,Kericho,1400,2019-09-04,Kisumu,Kericho,0.0
9,KERICHO,12:45 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:36.320046,Kisumu,Kericho,1400,2019-09-04,Kisumu,Kericho,10.0
10,KERICHO,01:00 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:36.320049,Kisumu,Kericho,1400,2019-09-04,Kisumu,Kericho,14.0
11,KERICHO,01:00 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:36.320051,Kisumu,Kericho,1400,2019-09-04,Kisumu,Kericho,25.0
12,KERICHO,02:00 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:36.320054,Kisumu,Kericho,1400,2019-09-04,Kisumu,Kericho,10.0
13,KERICHO,03:00 PM,"Wed,Sep 04,2019",EasyCoach,2019-09-03 00:47:36.320056,Kisumu,Kericho,1400,2019-09-04,Kisumu,Kericho,32.0
