search_origin,search_destination
Homa%20Bay,Keroka
Nakuru,Chwele
Naivasha,Turbo
Lwandanyi,Naivasha
Country%20bus,Turbo
Kisii,Migori
Nairobi,Homa%20Bay
Chavakali,Mombasa
Country%20bus,Tulienge
Kwa%20muthoni,Naivasha
Lwakhakha,Uthiru
Koteko,Nakuru
Naivasha,Mayanja
Mbale,Mombasa
Maseno,Siaya
Kocholia,Country%20bus
Kisumu,Kampala
Bukembe,Naivasha
Siyenga,Main%20Office
Naivasha,Kocholia
Bungoma,Naivasha
Naivasha,Lugulu
Chwele,Nakuru
Mbita,Kisii
Kisii,Homa%20Bay
Kangemi,Lwakhakha
Kakamega,Kangemi
Kisii,Keroka
Westlands,Kimilili
Naivasha,Lwandeti
Kakamega,Uthiru
Tulienge,Eldoret
Lunga%27nyiro,Nakuru
Kakamega,Kaimosi
Shianda,Kangemi
Koteko,Uthiru
Bukembe,Nakuru
Korosiandet,Kangemi
Naivasha,Westlands
Amagoro,Naivasha
Bukembe,Kangemi
Westlands,Turbo
Kangemi,Namwela
Nairobi,Usenge
Nairobi,Migori
Chavakali,Naivasha
Mumias,Mombasa
Naivasha,Bungoma
Naivasha,Country%20bus
Kipkaren,Country%20bus
Tulienge,Westlands
Bishop%20Muge,Naivasha
Sirare,Rongo
Lunga%27nyiro,Uthiru
JKIA%20%40%20Paul%27s%20cafe,Moshi
Uthiru,Tulienge
Kimilili,Nakuru
Homa%20Bay,Rongo
Nairobi,Moisbridge
Naivasha,Kimwanga
Nakuru,Usenge
Chesikaki,Total
Eldoret,Webuye
Bumala,Ugunja
Kangemi,Tulienge
Kisumu,Usenge
Mombasa,Mumias
Turbo,Kangemi
Naivasha,Lwakhakha
Nakuru,Lwakhakha
Siaya,Maseno
Mbita,Narok
Bondo,Kisumu
Westlands,Chwele
Nairobi,Malaba
Jua%20kali,Uthiru
Country%20bus,Lugulu
Sirisia,Uthiru
Lwandanyi,Nakuru
Westlands,Webuye
Nairobi,Mayanja
Chesikaki,Nakuru
Kericho,Bondo
Kanduyi,Naivasha
Kangemi,Kocholia
Nairobi,Kampala
Lunga%27nyiro,Westlands
Westlands,Chimoi
Nairobi,Ugunja
Moi%27s%20Bridge,Eldoret
Nairobi,Jua%20kali
Ndori,Kericho
Z,Uthiru
Amagoro,Uthiru
Uthiru,Sirisia
Naivasha,Kimaiti
Nakuru,Kisumu
Bukembe,Uthiru
Country%20bus,Kocholia
Country%20bus,Wamono
Tulienge,Naivasha
Eldoret,Mbale
Matunda,Westlands
