,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
0,Jkia @ Paul's Cafe,08:15 AM,"Wed,Aug 21,2019",East African Shuttles,2019-08-20 00:46:02.274341,Arusha,Nairobi,2500,2019-08-21,Arusha,Nairobi,22.0
1,Jkia @ Paul's Cafe,02:00 PM,"Wed,Aug 21,2019",East African Shuttles,2019-08-20 00:46:02.274361,Arusha,Nairobi,2500,2019-08-21,Arusha,Nairobi,22.0
2,SIRARE,08:00 AM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:06.395076,Awendo,Sirare,1000,2019-08-21,Awendo,Sirare,29.0
3,SIRARE,07:30 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:06.395097,Awendo,Sirare,1000,2019-08-21,Awendo,Sirare,31.0
4,Amagoro,07:10 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:09.572220,Nakuru,Kimaiti,700,2019-08-21,Nakuru,Kimaiti,66.0
5,Amagoro,08:30 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:09.572240,Nakuru,Kimaiti,800,2019-08-21,Nakuru,Kimaiti,48.0
6,KERICHO,12:00 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:20.648707,Kisumu,Kericho,1400,2019-08-21,Kisumu,Kericho,15.0
7,KERICHO,12:30 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:20.648731,Kisumu,Kericho,1400,2019-08-21,Kisumu,Kericho,24.0
8,KERICHO,12:45 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:20.648734,Kisumu,Kericho,1400,2019-08-21,Kisumu,Kericho,30.0
9,KERICHO,01:00 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:20.648736,Kisumu,Kericho,1400,2019-08-21,Kisumu,Kericho,26.0
10,KERICHO,02:00 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:20.648739,Kisumu,Kericho,1400,2019-08-21,Kisumu,Kericho,22.0
11,KERICHO,03:00 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:20.648741,Kisumu,Kericho,1400,2019-08-21,Kisumu,Kericho,32.0
12,KERICHO,06:00 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:20.648744,Kisumu,Kericho,1400,2019-08-21,Kisumu,Kericho,32.0
13,Cheptais,05:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:23.533114,Westlands,Cheptais,900,2019-08-21,Westlands,Cheptais,66.0
14,Cheptais,05:30 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:23.533136,Westlands,Cheptais,900,2019-08-21,Westlands,Cheptais,66.0
15,Railways,08:00 AM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:28.897102,Rongo,Nairobi,1000,2019-08-21,Rongo,Nairobi,24.0
16,Railways,08:30 AM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:28.897136,Rongo,Nairobi,1000,2019-08-21,Rongo,Nairobi,26.0
17,Railways,09:15 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:28.897140,Rongo,Nairobi,1000,2019-08-21,Rongo,Nairobi,25.0
18,Railways,09:15 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:28.897143,Rongo,Nairobi,1000,2019-08-21,Rongo,Nairobi,20.0
19,Railways,09:30 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:28.897148,Rongo,Nairobi,1000,2019-08-21,Rongo,Nairobi,21.0
20,,03:00 PM,"Wed,Aug 21,2019",Crown Bus,2019-08-20 00:46:30.530850,Nakuru,Mombasa,1500,2019-08-21,Nakuru,Mombasa,0.0
21,Busia,07:30 AM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:35.767060,Kericho,Busia,800,2019-08-21,Kericho,Busia,26.0
22,Busia,06:45 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:35.767081,Kericho,Busia,800,2019-08-21,Kericho,Busia,29.0
23,Busia,07:00 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:35.767084,Kericho,Busia,800,2019-08-21,Kericho,Busia,24.0
24,Esidende,06:30 AM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:37.877446,Kangemi,Koyonzo,600,2019-08-21,Kangemi,Koyonzo,67.0
25,Esidende,05:30 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:37.877467,Kangemi,Koyonzo,600,2019-08-21,Kangemi,Koyonzo,67.0
26,Cheptais,05:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:39.650311,Naivasha,Chesikaki,900,2019-08-21,Naivasha,Chesikaki,66.0
27,Cheptais,05:30 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:39.650334,Naivasha,Chesikaki,900,2019-08-21,Naivasha,Chesikaki,66.0
28,Kangemi,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:41.888854,Kwa Muthoni,Uthiru,1000,2019-08-21,Kwa%20muthoni,Uthiru,46.0
29,Kangemi,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:41.888873,Kwa Muthoni,Uthiru,1000,2019-08-21,Kwa%20muthoni,Uthiru,48.0
30,Busia,07:30 AM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:47.714607,Maseno,Busia,300,2019-08-21,Maseno,Busia,26.0
31,Busia,06:45 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:47.714627,Maseno,Busia,300,2019-08-21,Maseno,Busia,29.0
32,Busia,07:00 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:46:47.714630,Maseno,Busia,300,2019-08-21,Maseno,Busia,24.0
33,Country Bus,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:49.521520,Kimilili,Nakuru,1000,2019-08-21,Kimilili,Nakuru,48.0
34,Amagoro,07:10 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:51.663676,Uthiru,Kanduyi,700,2019-08-21,Uthiru,Kanduyi,66.0
35,Amagoro,08:30 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:51.663697,Uthiru,Kanduyi,800,2019-08-21,Uthiru,Kanduyi,48.0
36,Country Bus,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:54.404001,Sirisia,Nairobi,1000,2019-08-21,Sirisia,Nairobi,48.0
37,Country Bus,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:46:58.595478,Chimoi,Uthiru,1000,2019-08-21,Chimoi,Uthiru,48.0
38,Kangemi,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:02.486408,Kitale,Uthiru,1000,2019-08-21,Kitale,Uthiru,46.0
39,Kangemi,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:02.486429,Kitale,Uthiru,1000,2019-08-21,Kitale,Uthiru,48.0
40,,03:00 PM,"Wed,Aug 21,2019",Crown Bus,2019-08-20 00:47:04.747421,Mbale,Mombasa,2000,2019-08-21,Mbale,Mombasa,0.0
41,Railways,08:30 AM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:47:10.687476,Kakamega,Nairobi,1450,2019-08-21,Kakamega,Nairobi,24.0
42,Railways,09:00 AM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:47:10.687494,Kakamega,Nairobi,1450,2019-08-21,Kakamega,Nairobi,27.0
43,Railways,07:45 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:47:10.687497,Kakamega,Nairobi,1450,2019-08-21,Kakamega,Nairobi,27.0
44,Railways,09:00 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:47:10.687500,Kakamega,Nairobi,1450,2019-08-21,Kakamega,Nairobi,10.0
45,Country Bus,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:14.394947,Kimaiti,Westlands,1000,2019-08-21,Kimaiti,Westlands,48.0
46,Jkia @ Paul's Cafe,08:15 AM,"Wed,Aug 21,2019",East African Shuttles,2019-08-20 00:47:16.923556,Arusha,Parkside Hotel,2500,2019-08-21,Arusha,Parkside%20hotel,22.0
47,Jkia @ Paul's Cafe,02:00 PM,"Wed,Aug 21,2019",East African Shuttles,2019-08-20 00:47:16.923574,Arusha,Parkside Hotel,2500,2019-08-21,Arusha,Parkside%20hotel,22.0
48,Chavakali,08:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:19.151545,Naivasha,Kakamega,700,2019-08-21,Naivasha,Kakamega,67.0
49,NAKURU,10:00 AM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:47:24.855456,Busia,Nakuru,1000,2019-08-21,Busia,Nakuru,15.0
50,NAKURU,10:30 PM,"Wed,Aug 21,2019",EasyCoach,2019-08-20 00:47:24.855476,Busia,Nakuru,1000,2019-08-21,Busia,Nakuru,23.0
51,Cheptais,05:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:27.496056,Uthiru,Cheptais,900,2019-08-21,Uthiru,Cheptais,66.0
52,Cheptais,05:30 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:27.496077,Uthiru,Cheptais,900,2019-08-21,Uthiru,Cheptais,66.0
53,Esidende,06:30 AM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:30.405443,Kangemi,Z,600,2019-08-21,Kangemi,Z,67.0
54,Esidende,05:30 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:30.405463,Kangemi,Z,600,2019-08-21,Kangemi,Z,67.0
55,Country Bus,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:32.718962,Jua Kali,Nakuru,1000,2019-08-21,Jua%20kali,Nakuru,48.0
56,Kangemi,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:35.853690,Moisbridge,Kangemi,1000,2019-08-21,Moisbridge,Kangemi,46.0
57,Kangemi,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:35.853711,Moisbridge,Kangemi,1000,2019-08-21,Moisbridge,Kangemi,48.0
58,Chwele,06:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:38.866275,Uthiru,Chwele,700,2019-08-21,Uthiru,Chwele,67.0
59,Chwele,07:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:38.866297,Uthiru,Chwele,700,2019-08-21,Uthiru,Chwele,67.0
60,Chwele,07:10 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:38.866300,Uthiru,Chwele,700,2019-08-21,Uthiru,Chwele,48.0
61,Country Bus,09:00 PM,"Wed,Aug 21,2019",Greenline,2019-08-20 00:47:41.461079,Lwakhakha,Uthiru,1000,2019-08-21,Lwakhakha,Uthiru,48.0
