,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
0,Jkia @ Paul's Cafe,08:15 AM,"Fri,Aug 30,2019",East African Shuttles,2019-08-29 06:36:15.627620,Arusha,Nairobi,2500,2019-08-30,Arusha,Nairobi,22.0
1,Jkia @ Paul's Cafe,02:00 PM,"Fri,Aug 30,2019",East African Shuttles,2019-08-29 06:36:15.627638,Arusha,Nairobi,2500,2019-08-30,Arusha,Nairobi,22.0
2,Amagoro,07:10 PM,"Fri,Aug 30,2019",Greenline,2019-08-29 06:36:21.005298,Nakuru,Kimaiti,700,2019-08-30,Nakuru,Kimaiti,66.0
3,Amagoro,08:30 PM,"Fri,Aug 30,2019",Greenline,2019-08-29 06:36:21.005318,Nakuru,Kimaiti,800,2019-08-30,Nakuru,Kimaiti,48.0
4,KERICHO,12:00 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351438,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,0.0
5,KERICHO,12:30 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351459,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,10.0
6,KERICHO,12:30 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351461,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,30.0
7,KERICHO,12:45 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351464,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,10.0
8,KERICHO,01:00 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351466,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,10.0
9,KERICHO,01:15 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351469,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,10.0
10,KERICHO,02:00 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351471,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,18.0
11,KERICHO,03:00 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351473,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,20.0
12,KERICHO,06:00 PM,"Fri,Aug 30,2019",EasyCoach,2019-08-29 06:36:35.351476,Kisumu,Kericho,1400,2019-08-30,Kisumu,Kericho,31.0
13,Cheptais,05:00 PM,"Fri,Aug 30,2019",Greenline,2019-08-29 06:36:38.940448,Westlands,Cheptais,800,2019-08-30,Westlands,Cheptais,66.0
