,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
14847,KERICHO,11:45 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:03.731317,Nakuru,Kericho,550,2019-08-28,Nakuru,Kericho,32.0
14848,Chavakali,08:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:27:06.383387,Country Bus,Mbale,700,2019-08-28,Country%20bus,Mbale,67.0
14849,Eldoret,10:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:27:09.194353,Westlands,Nakuru,500,2019-08-28,Westlands,Nakuru,67.0
14850,Eldoret,10:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:27:09.194372,Westlands,Nakuru,800,2019-08-28,Westlands,Nakuru,48.0
14851,KISII TOWN,09:00 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:14.834547,Bomet,Kisii,950,2019-08-28,Bomet,Kisii,29.0
14852,KISII TOWN,10:15 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:14.834567,Bomet,Kisii,300,2019-08-28,Bomet,Kisii,32.0
14853,KISII TOWN,10:30 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:14.834570,Bomet,Kisii,1000,2019-08-28,Bomet,Kisii,31.0
14854,KISII TOWN,09:00 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:14.834572,Bomet,Kisii,950,2019-08-28,Bomet,Kisii,32.0
14855,KISII TOWN,09:30 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:14.834575,Bomet,Kisii,300,2019-08-28,Bomet,Kisii,31.0
14856,KISII TOWN,09:30 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:14.834578,Bomet,Kisii,300,2019-08-28,Bomet,Kisii,32.0
14857,KISII TOWN,09:45 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:14.834580,Bomet,Kisii,1000,2019-08-28,Bomet,Kisii,32.0
14858,KISII TOWN,09:45 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:14.834583,Bomet,Kisii,300,2019-08-28,Bomet,Kisii,32.0
14859,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:27:16.818304,Kangemi,Soy,1000,2019-08-28,Kangemi,Soy,48.0
14860,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:27:16.818329,Kangemi,Soy,600,2019-08-28,Kangemi,Soy,67.0
14861,Kisumu United Mall,02:45 AM,"Tue,Aug 27,2019",EasyCoach,2019-08-18 01:27:19.682895,Bondo,Kisumu,1450,2019-08-28,Bondo,Kisumu,0.0
14862,Kisumu United Mall,03:45 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:27:19.682913,Bondo,Kisumu,1450,2019-08-28,Bondo,Kisumu,32.0
14863,Railways,08:30 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:29.441907,Kaimosi,Nairobi,1200,2019-08-28,Kaimosi,Nairobi,32.0
14864,Railways,09:00 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:29.441929,Kaimosi,Nairobi,1200,2019-08-28,Kaimosi,Nairobi,30.0
14865,Railways,07:45 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:29.441932,Kaimosi,Nairobi,1200,2019-08-28,Kaimosi,Nairobi,30.0
14866,Railways,09:00 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:29.441935,Kaimosi,Nairobi,1200,2019-08-28,Kaimosi,Nairobi,29.0
14867,Railways,07:45 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:33.093021,Bondo,Nairobi,1450,2019-08-28,Bondo,Nairobi,32.0
14868,Railways,08:30 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:14:33.093042,Bondo,Nairobi,1450,2019-08-28,Bondo,Nairobi,31.0
14869,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:36.299630,Naivasha,Eldoret,1000,2019-08-28,Naivasha,Eldoret,48.0
14870,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:36.299651,Naivasha,Eldoret,600,2019-08-28,Naivasha,Eldoret,67.0
14871,Eldoret,10:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:38.876886,Uthiru,Naivasha,500,2019-08-28,Uthiru,Naivasha,67.0
14872,Eldoret,10:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:38.876905,Uthiru,Naivasha,800,2019-08-28,Uthiru,Naivasha,48.0
14873,Bella Luna On Phillips,08:15 AM,"Wed,Aug 28,2019",East African Shuttles,2019-08-18 01:14:40.521078,Parkside Hotel,Bella Luna On Phillips Road,2500,2019-08-28,Parkside%20hotel,Bella%20Luna%20on%20Phillips%20Road,22.0
14874,Bella Luna On Phillips,02:00 PM,"Wed,Aug 28,2019",East African Shuttles,2019-08-18 01:14:40.521097,Parkside Hotel,Bella Luna On Phillips Road,2500,2019-08-28,Parkside%20hotel,Bella%20Luna%20on%20Phillips%20Road,22.0
14875,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:14:43.561304,Nakuru,Sirende,1000,2019-08-28,Nakuru,Sirende,48.0
