,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
0,Jkia @ Paul's Cafe,08:15 AM,"Mon,Sep 02,2019",East African Shuttles,2019-09-01 00:45:52.535892,Arusha,Nairobi,2500,2019-09-02,Arusha,Nairobi,22.0
1,Jkia @ Paul's Cafe,02:00 PM,"Mon,Sep 02,2019",East African Shuttles,2019-09-01 00:45:52.535911,Arusha,Nairobi,2500,2019-09-02,Arusha,Nairobi,22.0
2,SIRARE,08:00 AM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:45:55.615392,Awendo,Sirare,1000,2019-09-02,Awendo,Sirare,12.0
3,SIRARE,07:30 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:45:55.615412,Awendo,Sirare,1000,2019-09-02,Awendo,Sirare,23.0
4,SIRARE,07:45 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:45:55.615415,Awendo,Sirare,1000,2019-09-02,Awendo,Sirare,16.0
5,Amagoro,07:10 PM,"Mon,Sep 02,2019",Greenline,2019-09-01 00:45:58.028823,Nakuru,Kimaiti,700,2019-09-02,Nakuru,Kimaiti,66.0
6,Amagoro,08:30 PM,"Mon,Sep 02,2019",Greenline,2019-09-01 00:45:58.028853,Nakuru,Kimaiti,800,2019-09-02,Nakuru,Kimaiti,48.0
7,KERICHO,11:30 AM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949702,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,0.0
8,KERICHO,11:45 AM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949722,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,0.0
9,KERICHO,12:00 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949725,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,0.0
10,KERICHO,12:00 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949727,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,0.0
11,KERICHO,12:00 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949729,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,0.0
12,KERICHO,12:30 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949732,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,10.0
13,KERICHO,12:45 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949734,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,10.0
14,KERICHO,12:45 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949737,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,0.0
15,KERICHO,01:00 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949739,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,10.0
16,KERICHO,02:00 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949742,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,10.0
17,KERICHO,03:00 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:10.949746,Kisumu,Kericho,1400,2019-09-02,Kisumu,Kericho,0.0
18,Cheptais,05:00 PM,"Mon,Sep 02,2019",Greenline,2019-09-01 00:46:15.467300,Westlands,Cheptais,1000,2019-09-02,Westlands,Cheptais,66.0
19,Cheptais,05:30 PM,"Mon,Sep 02,2019",Greenline,2019-09-01 00:46:15.467317,Westlands,Cheptais,1000,2019-09-02,Westlands,Cheptais,66.0
20,Cheptais,06:00 PM,"Mon,Sep 02,2019",Greenline,2019-09-01 00:46:15.467320,Westlands,Cheptais,800,2019-09-02,Westlands,Cheptais,67.0
21,Cheptais,07:00 PM,"Mon,Sep 02,2019",Greenline,2019-09-01 00:46:15.467322,Westlands,Cheptais,800,2019-09-02,Westlands,Cheptais,67.0
22,Cheptais,07:10 PM,"Mon,Sep 02,2019",Greenline,2019-09-01 00:46:15.467325,Westlands,Cheptais,800,2019-09-02,Westlands,Cheptais,48.0
23,Railways,07:30 AM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:21.225108,Rongo,Nairobi,1000,2019-09-02,Rongo,Nairobi,0.0
24,Railways,08:00 AM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:21.225130,Rongo,Nairobi,1000,2019-09-02,Rongo,Nairobi,0.0
25,Railways,08:30 AM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:21.225132,Rongo,Nairobi,1000,2019-09-02,Rongo,Nairobi,0.0
26,Railways,09:15 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:21.225135,Rongo,Nairobi,1000,2019-09-02,Rongo,Nairobi,0.0
27,Railways,09:15 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:21.225137,Rongo,Nairobi,1000,2019-09-02,Rongo,Nairobi,0.0
28,Railways,09:15 PM,"Mon,Sep 02,2019",EasyCoach,2019-09-01 00:46:21.225140,Rongo,Nairobi,1000,2019-09-02,Rongo,Nairobi,0.0
