,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
0,Jkia @ Paul's Cafe,08:15 AM,"Wed,Aug 14,2019",East African Shuttles,2019-08-13 08:05:18.281677,Arusha,Nairobi,2500,2019-08-14,Arusha,Nairobi,22.0
1,Jkia @ Paul's Cafe,02:00 PM,"Wed,Aug 14,2019",East African Shuttles,2019-08-13 08:05:18.281715,Arusha,Nairobi,2500,2019-08-14,Arusha,Nairobi,22.0
2,Railways,07:00 AM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194596,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,10.0
3,Railways,07:00 AM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194623,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,21.0
4,Railways,07:30 AM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194626,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,25.0
5,Railways,07:45 AM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194628,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,20.0
6,Railways,09:00 AM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194631,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,28.0
7,Railways,09:00 AM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194634,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,22.0
8,Railways,11:00 AM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194636,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,31.0
9,Railways,01:00 PM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194638,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,32.0
10,Railways,07:00 PM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194641,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,27.0
11,Railways,07:30 PM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194643,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,13.0
12,Railways,08:30 PM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194645,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,25.0
13,Railways,08:30 PM,"Wed,Aug 14,2019",EasyCoach,2019-08-13 08:05:19.194648,Kisumu,Nairobi,1400,2019-08-14,Kisumu,Nairobi,24.0
14,,08:30 PM,"Wed,Aug 14,2019",Crown Bus,2019-08-13 08:05:19.194650,Kisumu,Nairobi,1100,2019-08-14,Kisumu,Nairobi,0.0
